iter	RMSE
0	1.121881753
1	1.089889567
2	1.059300697
3	1.031207493
4	1.005101205
5	0.9795428045
6	0.9551097665
7	0.9321876943
8	0.9099723287
9	0.8900534933
10	0.8709698094
11	0.852883001
12	0.8355322877
13	0.8200199319
14	0.8046567453
15	0.7918833823
16	0.7779736123
17	0.7660798849
18	0.7552008868
19	0.7444111081
20	0.7314167286
21	0.7221895394
22	0.7115405113
23	0.700632409
24	0.6910519166
25	0.6820171
26	0.67389675
27	0.6663941345
28	0.659573795
29	0.6535216107
30	0.6485450747
31	0.6431275436
32	0.636974357
33	0.6324492051
34	0.6267325148
